num_assets,num_customers,memory_gb,cpu_cores,first_x,gets_y,num_simulators
12270,348,64,4,22,17,13
5860,295,8,2,27,10,5
10390,225,16,16,41,17,9
18418,88,64,8,48,38,14
10191,219,8,4,55,14,5
16964,296,16,2,38,56,13
16284,75,16,4,71,43,7
10734,404,32,8,71,74,11
11265,355,8,2,66,64,5
5466,458,8,4,25,52,7
18526,457,64,16,65,83,22
9426,62,32,2,19,39,5
10578,365,32,4,39,26,7
19423,440,32,8,34,35,14
16636,362,32,8,14,17,14
16363,85,8,2,74,56,8
16111,222,8,4,58,85,11
13322,69,16,2,12,81,16
6685,370,16,2,54,55,5
5769,313,32,4,23,77,12
15583,449,32,4,39,42,12
18803,191,32,16,77,10,13
11949,420,16,4,27,28,13
7433,192,64,8,71,40,11
10311,141,64,2,46,89,15
10051,403,16,2,34,23,10
11420,371,16,8,57,62,12
6184,337,16,4,74,57,5
9555,264,16,8,62,78,9
8385,496,16,8,88,71,5
17309,391,16,16,82,75,12
11396,100,32,8,24,73,13
18035,202,32,2,58,79,12
16096,235,32,8,77,72,13
13666,112,32,2,21,82,13
14274,239,16,2,68,42,9
7558,174,64,2,46,50,10
12849,199,8,4,70,57,5
7047,363,16,16,52,22,10
7747,107,8,2,79,82,5
14167,391,64,2,48,86,17
14998,354,32,4,65,40,13
5189,229,64,2,72,84,10
7734,219,16,8,55,77,6
8005,375,32,8,20,13,8
9658,320,16,16,71,28,10
6899,103,32,2,86,79,7
12734,493,8,4,34,22,5
6267,150,8,8,80,32,5
6528,313,8,4,61,84,8
16394,102,64,4,13,10,14
8556,109,16,8,68,63,8
8890,157,64,4,81,80,12
13838,54,8,8,29,24,8
19356,152,16,4,72,74,9
16080,245,8,8,63,85,14
19502,311,64,2,83,80,18
10393,414,64,16,66,24,14
15627,421,64,8,50,30,18
13792,399,8,8,12,28,12
15555,96,16,16,15,69,16
15253,404,16,8,14,42,8
13433,360,8,8,14,58,14
15233,473,16,4,63,44,10
16016,357,8,16,56,53,13
12513,193,16,2,58,20,7
7612,318,32,8,18,81,13
12041,419,32,16,29,87,18
14555,173,64,4,70,83,16
11235,155,32,2,44,75,12
10486,207,32,16,59,55,12
12099,196,32,2,71,18,5
14670,194,8,2,26,12,7
15748,169,32,2,12,35,11
5775,368,32,8,41,81,12
17206,324,64,8,22,57,20
13226,141,32,4,82,75,9
19541,107,32,4,77,79,13
8152,488,16,16,23,37,9
15147,395,64,4,20,35,15
6585,278,64,2,65,34,6
8943,166,64,2,76,21,5
12555,367,64,8,38,14,13
8073,328,64,2,18,57,15
6021,176,64,16,76,46,10
16653,442,8,2,34,88,13
15805,445,32,2,85,53,12
18417,178,64,16,51,24,15
8843,107,32,4,18,52,10
12989,171,32,4,88,57,7
14692,50,8,16,49,79,16
17990,288,64,8,34,55,21
19737,339,16,2,14,52,12
11873,145,8,16,20,30,11
10675,175,16,2,68,32,8
5161,167,32,8,88,89,9
9297,97,32,2,47,56,9
15173,138,8,16,81,24,11
5995,286,8,2,14,34,5
19605,422,16,4,57,45,11
18103,434,64,8,27,84,19
16534,321,16,8,79,60,12
17743,238,8,8,46,24,9
12629,241,16,16,69,77,11
16990,496,8,8,57,30,11
14467,118,16,4,86,22,8
6016,327,8,16,37,28,5
12869,398,8,4,78,43,9
11439,296,8,2,86,87,8
12892,125,64,2,49,77,12
11863,203,16,2,54,61,6
12916,193,16,2,71,36,7
13529,484,16,4,67,38,10
5878,135,8,16,76,37,7
14268,234,16,16,65,44,12
9887,334,16,8,49,17,7
17185,269,8,4,49,25,10
19552,118,32,2,86,45,9
9859,96,8,4,42,39,9
11331,143,16,8,15,27,13
13571,287,8,8,28,11,9
13684,495,32,4,89,58,10
12208,253,8,4,49,86,9
10276,449,16,4,68,13,6
7062,267,32,16,68,84,9
17076,481,64,2,57,16,9
5064,390,16,4,50,83,5
13006,88,32,4,22,48,10
7568,149,32,4,54,22,6
10463,338,64,8,62,40,13
18440,303,8,8,51,80,12
7027,271,8,16,72,72,8
7695,406,16,2,36,65,7
14687,72,64,16,47,51,15
10258,299,8,2,69,70,6
10618,59,64,8,16,51,16
11736,295,8,8,14,65,9
5391,374,32,8,54,45,5
18986,149,8,16,67,77,12
17706,339,64,4,40,16,11
19624,229,32,4,32,63,14
