                        expected    actual  accuracy
zerotrust_checks        108000.0       0.0      0 -------
socket_events           115200.0  115200.0    100
process_file_events     122400.0  122400.0    100
process_open_sockets    208800.0  208800.0    100
process_events          115200.0  115200.0    100
wmi_query_events        108000.0  108000.0    100
dns_lookup_events       115200.0  115200.0    100
ebpf_dns_lookup_events  108000.0  108000.0    100
user_events             108000.0  108000.0    100
http_events             115200.0  115200.0    100
process_envs         86400.0   86400.0  100
diag_watcher_stats  100800.0  100800.0  100
image_load_events   100800.0  100800.0  100
process_cpu          93600.0   93600.0  100
crio_containers      93600.0   96480.0  103.076923 -----
powershell_events   100800.0  100800.0  100
containerd_events    86400.0   86400.0  100
vulnerabilities      93600.0   93600.0  100
registry_events     100800.0  100800.0  100
docker_events        93600.0   93600.0  100
usb_devices          79200.0  79200.0     100.0
disk_encryption      79200.0  79200.0     100.0
osquery_events       79200.0  79200.0     100.0
listening_ports      79200.0  79200.0     100.0
carbon_black_info    72000.0  72000.0     100.0
apparmor_profiles    86400.0  86400.0     100.0
process_open_files   86400.0  86400.0     100.0
system_info          72000.0  72000.0     100.0
processes            86400.0  86400.0     100.0
memory_map           79200.0  79200.0     100.0
etc_services          72000.0  72000.0  100
crontab               64800.0  64800.0  100
iptables              72000.0  74280.0  103.166667 -------
memory_info           64800.0  64800.0  100
logged_in_users       64800.0  64800.0  100
ssh_configs           64800.0  64800.0  100
docker_image_layers   57600.0  57600.0  100
lxd_networks          64800.0  64800.0  100
known_hosts           72000.0  72000.0  100
shadow                64800.0  65280.0  100.740741 -------
processes_hash                57600.0  57840.0  100.416667 -----
docker_image_labels           57600.0  57600.0  100
osquery_registry              50400.0  50400.0  100
acpi_tables                   57600.0  57600.0  100
user_groups                   57600.0  57600.0  100
mounts                        50400.0  50400.0  100
certificates                  50400.0  50400.0  100
interface_ipv6                50400.0  50400.0  100
memory_arrays                 57600.0  57600.0  100
last                   50400.0  50400.0     100.0
kernel_info            43200.0  43200.0     100.0
ulimit_info            43200.0  43200.0     100.0
platform_info          43200.0  43200.0     100.0
routes                 43200.0  43200.0     100.0
osquery_flags          43200.0  43200.0     100.0
cpu_time               50400.0  50400.0     100.0
interface_details      50400.0  50400.0     100.0
groups                 50400.0  50400.0     100.0
docker_image_history   43200.0  43200.0     100.0
audit_status                 36000.0  36000.0     100.0
rpm_packages                 43200.0  43200.0     100.0
os_version                   36000.0  36000.0     100.0
lxd_cluster_members          36000.0  36000.0     100.0
md_personalities             36000.0  36000.0     100.0
process_namespaces           36000.0  36000.0     100.0
process_open_pipes           43200.0  43200.0     100.0
osquery_schedule             43200.0  43200.0     100.0
docker_info                  43200.0  43200.0     100.0
docker_images               36000.0  36000.0     100.0
dns_resolvers               28800.0  28800.0     100.0
osquery_packs               28800.0  28800.0     100.0
docker_container_mounts     28800.0  28800.0     100.0
system_controls             36000.0  36000.0     100.0
load_average                36000.0  36000.0     100.0
kernel_modules              36000.0  36000.0     100.0
docker_containers           28800.0  28800.0     100.0
block_devices               28800.0  28800.0     100.0
docker_container_networks   36000.0  36000.0     100.0
cpuid             28800.0  28800.0     100.0
docker_networks   28800.0  28800.0     100.0
memory_devices    28800.0  28800.0     100.0
arp_cache         28800.0  28800.0     100.0
authorized_keys   28800.0  28800.0     100.0
etc_protocols     28800.0  28800.0     100.0
lxd_cluster       28800.0  28800.0     100.0
deb_packages      28800.0  28800.0     100.0
uptime            21600.0  21600.0     100.0
suid_bin          28800.0  28800.0     100.0
osquery_config                  21600.0  21600.0     100.0
sudoers                         21600.0  21600.0     100.0
smbios_tables                   21600.0  21600.0     100.0
osquery_upt_stats               21600.0  21600.0     100.0
users                           21600.0  21600.0     100.0
osquery_info                    21600.0  21600.0     100.0
apt_sources                     21600.0  21600.0     100.0
memory_array_mapped_addresses   21600.0  21600.0     100.0
pci_devices                     21600.0  21600.0     100.0
interface_addresses             21600.0  21600.0     100.0
memory_error_info         14400.0  14400.0     100.0
etc_hosts                 21600.0  21600.0     100.0
shared_memory             21600.0  21600.0     100.0
docker_container_labels   21600.0  21600.0     100.0
python_packages           21600.0  21600.0     100.0
shell_history             21600.0  21600.0     100.0
npm_packages              14400.0  14400.0     100.0
osquery_memory            14400.0  14400.0     100.0
selinux_settings          21600.0  21600.0     100.0
startup_items             21600.0  21600.0     100.0
ebpf_kernel_support              14400.0  14400.0     100.0
memory_device_mapped_addresses   14400.0  14400.0     100.0
docker_container_processes       14400.0  14400.0     100.0
vulnerability_scan_events        14400.0  14400.0     100.0
efivars                          14400.0  14400.0     100.0
ec2_instance_metadata            14400.0  14400.0     100.0
compliance_events                14400.0  14400.0     100.0
cpu_info                         14400.0  14400.0     100.0
msr                              14400.0  14400.0     100.0
ip6tables                        14400.0  14400.0     100.0
side_query_events                  14400.0      0.0       0.0 ---
containers                         14400.0  14400.0     100.0
side_query                         14400.0      0.0       0.0 ---
docker_container_envs              14400.0  14400.0     100.0
chrome_download_history            14400.0  14400.0     100.0
sensitive_scan_events              14400.0  14400.0     100.0
bf_failed_login_events             14400.0  14400.0     100.0
firefox_addons                     14400.0  14400.0     100.0
gce_instance_metadata              14400.0  14400.0     100.0
chrome_extension_content_scripts   14400.0  14400.0     100.0
containerd_images          7200.0   7200.0     100.0
container_version         14400.0  14400.0     100.0
container_images          14400.0  14400.0     100.0
docker_volume_labels      14400.0  14400.0     100.0
docker_container_ports     7200.0   7200.0     100.0
java_packages             14400.0  14400.0     100.0
azure_instance_metadata   14400.0  14400.0     100.0
containerd_namespaces     14400.0  14400.0     100.0
hardware_events           14400.0  14400.0     100.0
chrome_extensions         14400.0  14400.0     100.0
containerd_contents        7200.0  7200.0     100.0
docker_version             7200.0  7200.0     100.0
apk_packages               7200.0  7200.0     100.0
yum_sources                7200.0  7200.0     100.0
remediation_events         7200.0  7200.0     100.0
network_events             7200.0  7200.0     100.0
user_ssh_keys              7200.0  7200.0     100.0
image_packages             7200.0  7200.0     100.0
chrome_url_history         7200.0  7200.0     100.0
process_blocking_events    7200.0  7200.0     100.0
docker_network_labels    7200.0  7200.0     100.0
yara_process_events      7200.0  7200.0     100.0
syscall_events           7200.0  7200.0     100.0
oem_strings              7200.0  7200.0     100.0
docker_volumes           7200.0  7200.0     100.0
